冰箱,bing1 xiang1,icebox; refrigerator; freezer,Boya_Chapter_7
苹果,ping2 guo3,apple,Boya_Chapter_7
报,bao4,newspaper; report; to announce; to inform; recompense; revenge,Boya_Chapter_7
水果,shui3 guo3,fruit,Boya_Chapter_7
再说,zai4 shuo1,and then; furthermore; what's more; besides,Boya_Chapter_7
橘子,ju2 zi5,orange,Boya_Chapter_7
酸,suan1,sour; tart; acid,Boya_Chapter_7
维生素,wei2 sheng1 su4,vitamin,Boya_Chapter_7
结果,jie2 guo3,outcome; result,Boya_Chapter_7
放,fang4,to release; to free; to let go; to put; to place; to let out,Boya_Chapter_7
塞,sai1,to fill; to stuff; to squeeze in,Boya_Chapter_7
满,man3,full; filled; packed; to fill; to fulfill,Boya_Chapter_7
猜,cai1,to guess,Boya_Chapter_7
动物,dong4 wu4,animal,Boya_Chapter_7
胖,pang4,fat; plump,Boya_Chapter_7
毛,mao2,dime; hair; pore; fur,Boya_Chapter_7
耳朵,er3 duo5,ear,Boya_Chapter_7
四肢,si4 zhi1,(n) the four limbs of the body,Boya_Chapter_7
眼圈,yan3 quan1,rim of the eye,Boya_Chapter_7
戴,dai4,to put on; to respect; to bear; to support; wear (glasses; hat; gloves),Boya_Chapter_7
副,fu4,secondary; auxiliary; deputy; assistant; vice-; (measure word for a pair),Boya_Chapter_7
墨镜,mo4 jing4,sunglasses,Boya_Chapter_7
食物,shi2 wu4,food,Boya_Chapter_7
竹子,zhu2 zi5,bamboo,Boya_Chapter_7
出来,chu5 lai5,to come out; to emerge,Boya_Chapter_7
熊猫,xiong2 mao1,panda,Boya_Chapter_7
西南地区,xi1 nan2 di4 qu1,South-west region of China,Boya_Chapter_7
粗,cu1,coarse; rough; thick; unfinished; vulgar; rude; crude,Boya_Chapter_7
柱子,zhu4 zi5,pillar,Boya_Chapter_7
扇子,shan4 zi5,fan,Boya_Chapter_7
勤劳,qin2 lao2,hardworking; industrious; diligent,Boya_Chapter_7
精彩,jing1 cai3,spectacular; exciting; brilliant; splendid,Boya_Chapter_8
赢,ying2,to beat; to win; to profit,Boya_Chapter_8
输,shu1,to lose; to be beaten,Boya_Chapter_8
踢,ti1,kick; play (football or soccer),Boya_Chapter_8
平,ping2,flat; level; equal; to make the same score; to tie; to draw; calm; peaceful,Boya_Chapter_8
怪,guai4,queer; to blame,Boya_Chapter_8
浪费,lang4 fei4,to waste; to squander,Boya_Chapter_8
射门,she4 men2,shoot (at the goal),Boya_Chapter_8
胜利,sheng4 li4,victory,Boya_Chapter_8
一块儿,yi1 kuai4 r5,(adv) together; (n) at the same location,Boya_Chapter_8
洗澡,xi3 zao3,bathe,Boya_Chapter_8
对手,dui4 shou3,opponent; adversary; match,Boya_Chapter_8
数学,shu4 xue2,mathematic; mathematics,Boya_Chapter_8
厉害,li4 hai5,tough,Boya_Chapter_8
加油,jia1 you2,to make an extra effort; to cheer sb. on,Boya_Chapter_8
响,xiang3,to make a sound; to sound; to ring; (a measure word for sound); loud,Boya_Chapter_8
听见,ting1 jian4,hear,Boya_Chapter_8
醒,xing3,to wake up; to be awake,Boya_Chapter_8
急忙,ji2 mang2,hastily,Boya_Chapter_8
爬,pa2,crawl; climb,Boya_Chapter_8
起来,qi5 lai5,upward movement; beginning or continuing an action; stand up,Boya_Chapter_8
推,tui1,push; refuse (responsibility); shove,Boya_Chapter_8
气,qi4,gas; air; smell; weather; vital breath; to make sb. angry; to get angry; to be enraged,Boya_Chapter_8
扔,reng3,throw,Boya_Chapter_8
上去,shang4 qu4,(v) go upwards,Boya_Chapter_8
下来,xia4 lai5,come down,Boya_Chapter_8
乌龟,wu1 gui1,tortoise,Boya_Chapter_8
后悔,hou4 hui3,to regret; to repent; regretful,Boya_Chapter_8
腿,tui3,leg,Boya_Chapter_9
拐,guai3,limp; to turn; kidnap,Boya_Chapter_9
来不及,lai2 bu5 ji2,there's not enough time (to do sth.); it's too late (to do sth.),Boya_Chapter_9
窗户,chuang1 hu5,window,Boya_Chapter_9
层,ceng2,a measure word for layers; laminated; repeated; floor; story (of a building); layer,Boya_Chapter_9
隔壁,ge2 bi4,next door,Boya_Chapter_9
水房,shui3 fang2,washing room,Boya_Chapter_9
危险,wei1 xian3,danger; dangerous,Boya_Chapter_9
往,wang3,to go (in a direction); past; previous; towards,Boya_Chapter_9
跳,tiao4,jump; hop; skip (a grade); to leap; to bounce; to beat,Boya_Chapter_9
一下子,yi1 xia4 zi5,in a short while; all at once; all of a sudden,Boya_Chapter_9
摔,shuai1,throw on ground; to fall,Boya_Chapter_9
变成,bian4 cheng2,to change into; to turn into; to become,Boya_Chapter_9
近视,jin4 shi4,shortsighted; myopia,Boya_Chapter_9
清楚,qing1 chu5,clear; clearly understood; distinct,Boya_Chapter_9
脱,tuo1,to shed; to take off; to escape; to get away from,Boya_Chapter_9
挂,gua4,hang; suspend,Boya_Chapter_9
墙,qiang2,wall,Boya_Chapter_9
掉,diao4,to drop; to fall,Boya_Chapter_9
只,zhi1,"(a measure word, for birds and some animals, etc.); single; only",Boya_Chapter_9
苍蝇,cang1 ying5,(n) house fly,Boya_Chapter_9
立刻,li4 ke4,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,Boya_Chapter_9
飞,fei1,to fly,Boya_Chapter_9
蚊子,wen2 zi5,mosquito,Boya_Chapter_9
落,luo4,go down; fall; leave behind,Boya_Chapter_9
轻,qing1,hydrogen; light; easy; gentle; soft,Boya_Chapter_9
巴掌,ba1 zhang3,palm; hand,Boya_Chapter_9
突然,tu1 ran2,sudden; abrupt; unexpected,Boya_Chapter_9
钉子,ding1 zi5,nail; snag,Boya_Chapter_9
承认,cheng2 ren4,recognize; to acknowledge; to admit,Boya_Chapter_9
庙,miao4,temple; monastery,Boya_Chapter_9
农村,nong2 cun1,Boya_Chapter_10,
所,suo3,"(M) for houses, schools, buildings, etc.; actually; place",Boya_Chapter_10
敬老院,jing4 lao3 yuan4,old folk's home; home for the aged,Boya_Chapter_10
幼儿园,you4 er2 yuan2,kindergarten; nursery school,Boya_Chapter_10
游戏,you2 xi4,game,Boya_Chapter_10
农民,nong2 min2,farmer; peasant,Boya_Chapter_10
山,shan1,mountain; hill,Boya_Chapter_10
古老,gu3 lao3,ancient; old; age-old,Boya_Chapter_10
雄伟,xiong2 wei3,grand,Boya_Chapter_10
百,bai3,hundred,Boya_Chapter_10
云,yun2,cloud; say,Boya_Chapter_10
草,cao3,grass; straw; draft (of a document); careless; rough; manuscript; hasty,Boya_Chapter_10
鸟,niao3,bird,Boya_Chapter_10
幅,fu2,(measure word for textile or picture); width; roll,Boya_Chapter_10
后悔,hou4 hui3,to regret; to repent,Boya_Chapter_10
阳光,yang2 guang1,sunshine,Boya_Chapter_10
灿烂,can4 lan4,brilliant; glorious; glitter,Boya_Chapter_10
巨龙,ju4 long2,huge dragon,Boya_Chapter_10
卧,wo4,to lie; to crouch,Boya_Chapter_10
山峰,shan1 feng1,(mountain) peak,Boya_Chapter_10
朝,chao2,to face; towards; facing; direct; a dynasty; the imperial court,Boya_Chapter_10
延伸,yan2 shen1,to stretch; to extend; to spread,Boya_Chapter_10
站,zhan4,station; to stand; to halt; to stop,Boya_Chapter_10
笑,xiao4,laugh; smile,Boya_Chapter_10
右,you4,right (-hand),Boya_Chapter_10
食指,shi2 zhi3,forefinger,Boya_Chapter_10
中指,zhong1 zhi3,middle finger,Boya_Chapter_10
摆,bai3,to lay; to set; to place; to display; to exhibit,Boya_Chapter_10
T恤衫,T xu4 shan1,T-shirt,Boya_Chapter_10
行,xing2,(M); line; row,Boya_Chapter_10
登,deng1,scale; climb; ascend; mount; go up; register; note; to publish; to issue; to record,Boya_Chapter_10
长城,chang2 cheng2,the Great Wall,Boya_Chapter_10
工厂,gong1 chang3,factory; mill,Boya_Chapter_10
难忘,nan2 wang4,unforgettable,Boya_Chapter_10
种,zhong4,to plant,Boya_Chapter_10
西红柿,xi1 hong2 shi4,tomato,Boya_Chapter_11
炒,chao3,saute; pan-fry; to fry,Boya_Chapter_11
鸡蛋,ji1 dan4,chicken egg,Boya_Chapter_11
教,jiao4,teach,Boya_Chapter_11
家常菜,jia1 chang2 cai4,home-made dish (food),Boya_Chapter_11
把,ba3,(a measure word); (marker for direct-object); to hold; to contain; to grasp; to take hold of,Boya_Chapter_11
筷子,kuai4 zi5,chopsticks,Boya_Chapter_11
搅拌,jiao3 ban4,to mix; to stir; to agitate,Boya_Chapter_11
均匀,jun1 yun2,even; well-distributed,Boya_Chapter_11
切,qie1,to cut; to slice,Boya_Chapter_11
块儿,kuai4 er2,piece,Boya_Chapter_11
火,huo3,fire,Boya_Chapter_11
点着,dian3 zhe5,light a fire,Boya_Chapter_11
锅,guo1,pot; wok; pan; boiler,Boya_Chapter_11
油,you2,oil; sly,Boya_Chapter_11
熟,shou2,cooked,Boya_Chapter_11
加,jia1,to add; plus,Boya_Chapter_11
白糖,bai2 tang2,(refined) white sugar,Boya_Chapter_11
最后,zui4 hou4,final; at last; last; finally; ultimate,Boya_Chapter_11
盐,yan2,salt,Boya_Chapter_11
尝,chang2,indicator of past tense; to taste; flavor; already; ever; once; test; already; formerly,Boya_Chapter_11
特点,te4 dian3,characteristic (feature); trait; feature,Boya_Chapter_11
闻,wen2,smell; sniff at,Boya_Chapter_11
香,xiang1,(of food) savory; appetizing; delicious,Boya_Chapter_11
原料,yuan2 liao4,raw material,Boya_Chapter_11
克,ke4,gram; subdue; to restrain; to overcome,Boya_Chapter_11
淀粉,dian4 fen3,starch,Boya_Chapter_11
做法,zuo4 fa3,way of doing things; a (regular) practice; a behavior,Boya_Chapter_11
迅速,xun4 su4,rapid; speedy; fast,Boya_Chapter_11
咸,xian2,salted; salty,Boya_Chapter_11
可口,ke3 kou3,tasty; to taste good,Boya_Chapter_11
营养,ying2 yang3,nutrition; nourishment,Boya_Chapter_11
丰富,feng1 fu4,rich; abundant; plentiful,Boya_Chapter_11
土豆,tu3 dou4,potato,Boya_Chapter_11
辣椒,la4 jiao1,hot pepper; chili,Boya_Chapter_11
醋,cu4,vinegar,Boya_Chapter_11
酱油,jiang4 you2,soy sauce,Boya_Chapter_11
味精,wei4 jing1,MSG,Boya_Chapter_11
葱,cong1,scallion; green onion,Boya_Chapter_11
劳驾,lao2 jia4,excuse me,Boya_Chapter_12
纸,zhi3,paper,Boya_Chapter_12
箱子,xiang1 zi5,box; bin,Boya_Chapter_12
按,an4,according to; in the light of; to press (with the hand); to push; to control,Boya_Chapter_12
顺序,shun4 xu4,sequence; order,Boya_Chapter_12
弄,nong4,to do; to make; to handle; to play with; to fool with; to mess with,Boya_Chapter_12
乱,luan4,in confusion; disorderly,Boya_Chapter_12
桌子,zhuo1 zi5,table; desk,Boya_Chapter_12
小心,xiao3 xin1,careful,Boya_Chapter_12
重,zhong4,heavy; serious,Boya_Chapter_12
碰,peng4,to touch; to meet with; to bump,Boya_Chapter_12
先生,xian1 sheng5,sir; mister; teacher; (title of respect),Boya_Chapter_12
辛苦,xin1 ku3,hard; laborious; exhausting; with much toil,Boya_Chapter_12
保洁公司,bao3 jie2 gong1 si1,sanitation company,Boya_Chapter_12
服务,fu2 wu4,to serve; service,Boya_Chapter_12
姓名,xing4 ming2,name and surname,Boya_Chapter_12
地址,di4 zhi3,address,Boya_Chapter_12
小区,xiao3 qu1,residential compound,Boya_Chapter_12
单元,dan1 yuan2,(n) unit; entrance number,Boya_Chapter_12
看中,kan4 zhong4,take a fancy to,Boya_Chapter_12
居民,ju1 min2,resident; dweller; inhabitant,Boya_Chapter_12
南边,nan2 bian5,(n) location to the south,Boya_Chapter_12
公园,gong1 yuan2,a public park,Boya_Chapter_12
下棋,xia4 qi2,to play chess,Boya_Chapter_12
站,zhan4,station; to stop; to halt; to stand,Boya_Chapter_12
满意,man3 yi4,to be satisfied; to be pleased; satisfied; pleased,Boya_Chapter_12
认为,ren4 wei2,to believe; to think; to consider; to feel,Boya_Chapter_12
条件,tiao2 jian4,condition; prerequisite; factor,Boya_Chapter_12
虽然,sui1 ran2,although; even though,Boya_Chapter_12
但是,dan4 shi4,but; however,Boya_Chapter_12
华美小区,hua2 mei3 xiao3 qu1,Huamei Residential Complex,Boya_Chapter_12
西山,xi1 shan1,Xi Mountain,Boya_Chapter_12
房东,fang2 dong1,landlord; landlady,Boya_Chapter_12
药店,yao4 dian4,pharmacy; drugstore,Boya_Chapter_12
封,feng1,to confer; to grant; to seal; (a measure word),Boya_Chapter_13
收到,shou1 dao4,receive,Boya_Chapter_13
原谅,yuan2 liang4,to excuse; to forgive; to pardon,Boya_Chapter_13
一切,yi1 qie4,all; every; everything,Boya_Chapter_13
转眼,zhuan3 yan3,in the blink of an eye,Boya_Chapter_13
去年,qu4 nian2,last year,Boya_Chapter_13
难过,nan2 guo4,feel sad; feel bad or sorry; feel sorry; be grieved,Boya_Chapter_13
程度,cheng2 du4,degree (level or extent); level,Boya_Chapter_13
提高,ti2 gao1,raise; improve; increase,Boya_Chapter_13
交,jiao1,to deliver; to turn over; to make friends; to intersect (lines); to pay (money),Boya_Chapter_13
不但,bu4 dan4,not only (… but also…),Boya_Chapter_13
而且,er2 qie3,not only … but also ….; … as well as …; moreover; in addition,Boya_Chapter_13
各,ge4,various; each; every,Boya_Chapter_13
互相,hu4 xiang1,each other; mutually; mutual,Boya_Chapter_13
越来越,yue4 lai2 yue4,more and more,Boya_Chapter_13
…分之…,… fen1 zhi1 …,percent,Boya_Chapter_13
简化字,jian3 hua4 zi4,simplified Chinese characters,Boya_Chapter_13
进行,jin4 xing2,to carry out; to carry on; to advance; to conduct,Boya_Chapter_13
会话,hui4 hua4,dialog; conversation,Boya_Chapter_13
将来,jiang1 lai2,(the) future,Boya_Chapter_13
基本,ji1 ben3,on the whole; basic; fundamental; main,Boya_Chapter_13
菜单,cai4 dan1,menu,Boya_Chapter_13
中餐,zhong1 can1,Chinese meat; Chinese food,Boya_Chapter_13
地道,di4 dao5,authentic; genuine,Boya_Chapter_13
今年,jin1 nian2,this year,Boya_Chapter_13
延长,yan2 chang2,extend; prolong,Boya_Chapter_13
明年,ming2 nian2,next year,Boya_Chapter_13
了解,liao3 jie3,comprehend; understand; come to understand; find out,Boya_Chapter_13
文化,wen2 hua4,culture; civilization; cultural,Boya_Chapter_13
成功,cheng2 gong1,success; to succeed,Boya_Chapter_14
画家,hua4 jia1,painter,Boya_Chapter_14
得,de5,obtain; get; gain; proper; suitable; proud; contented; allow; permit; ready; finished,Boya_Chapter_14
以为,yi3 wei2,consider (that); believe,Boya_Chapter_14
其实,qi2 shi2,actually; that is not the case; in fact; really,Boya_Chapter_14
只要,zhi3 yao4,if only; so long as,Boya_Chapter_14
坚持,jian1 chi2,to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere,Boya_Chapter_14
理想,li3 xiang3,ideal,Boya_Chapter_14
实现,shi2 xian4,to accomplish; to achieve; to implement; to realize; to bring about,Boya_Chapter_14
高中,gao1 zhong4,high and middle,Boya_Chapter_14
年级,nian2 ji2,grade,Boya_Chapter_14
暂时,zan4 shi2,temporarily; for the time being; temporary; provisional,Boya_Chapter_14
停止,ting2 zhi3,to stop; to halt; to cease,Boya_Chapter_14
后来,hou4 lai2,afterwards; later,Boya_Chapter_14
辞,ci2,quit one's job; bid farewell; resign; say goodbye; take leave; decline,Boya_Chapter_14
游览,you2 lan3,to go sight-seeing; to tour; to visit,Boya_Chapter_14
正好,zheng4 hao3,just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that,Boya_Chapter_14
专门,zhuan1 men2,especially; specialist; specialized; customized,Boya_Chapter_14
奖,jiang3,prize; award; encouragement,Boya_Chapter_14
产生,chan3 sheng1,come into being,Boya_Chapter_14
算,suan4,count; regard as; to figure; to calculate; to compute,Boya_Chapter_14
加,jia1,to add; plus,Boya_Chapter_14
等于,deng3 yu2,equal,Boya_Chapter_14
零,ling2,remnant; zero,Boya_Chapter_14
其他,qi2 ta1,other; else,Boya_Chapter_14
与…无关,yu3 … wu2 guan1,have nothing to do with,Boya_Chapter_14
同意,tong2 yi4,to agree; to consent; to approve,Boya_Chapter_14
祝贺,zhu4 he4,to congratulate; congratulations,Boya_Chapter_14
鼠,shu3,rat; mouse,Boya_Chapter_14
